0.Unannotated,1.Unannotated,2.Unannotated,3.Unannotated,4.Unannotated,5.Unannotated,6.Unannotated,7.Unannotated,8.G-KC,9.Unannotated,10.Astrocyte-like,11.TmY14,12.Pm1/Pm2,13.Unannotated,14.Ensheathing glia,15.Unannotated,16.Unannotated,17.Mip ,18.Tm9,19.Unannotated,20.L1/L2/L3/L4/L5,21.Unannotated,22.a/b-KC,23.Unannotated,24.T4/T5,25.Unannotated,26.Mi1,27.OPN: adPN and lPN,28.a'/b'-KC,29.Unannotated,30.Unannotated,31.T2/T3,32.Unannotated,33.Unannotated,34.Unannotated,35.Ensheathing Glia,36.Clock neurons,37.T1,38.Serotonergic,39.Dm8/Tm5c,40.Unannotated,41.Tm5ab,42.Dopaminergic,43.Hemocytes,44.Unannotated,45.Tm1/TmY8,46.Peptidergic,47.Unannotated,48.Pm1/Pm2/Pm3,49.Unannotated,50.Unannotated,51.Mt1,52.Unannotated,53.Photoreceptors,54.Unannotated,55.Unannotated,56.Unannotated,57.MBON,58.Lawf1,59.Unannotated,60.Cortex Glia,61.dFB,62.Unannotated,63.Unannotated,64.Octopaminergic-Tyraminergic,65.C2/C3,66.Subperineurial Glia,67.Unannotated,68.Unannotated,69.Unannotated,70.Perineurial glia,71.Unannotated,72.Lawf2,73.Pm3 ,74.Unannotated,75.Unannotated,76.Unannotated,77.Unannotated,78.Unannotated,79.Unannotated,80.Poxn,81.Unannotated,82.Chiasm Glia,83.Unannotated,84.Unannotated,85.Subperineurial Glia,86.DN1
,,,,,,,,,,,,,,ND5,,,,,,,,,,,,,,,,,,,,,CG13458,,,,,,,,RpL7A,,,,,,,,,,,,,,,,,CG11159,,,,,,GIIIspla2,,,,CG2862,,,,ND3,,,,,,,CG12375,,,,,Prosbeta5
,,,,,,,,,,,,,,Wwox,,,,,,,,,,,,,,,,,,,,,CG34367,,,,,,,,Tab2,,,,,,,,,,,,,,,,,pdgy,,,,,,CG8839,,,,be,,,,CG17691,,,,,,,CG10863,,,,,CG32758
,,,,,,,,,,,,,,l(1)G0289,,,,,,,,,,,,,,,,,,,,,Cyt-c-p,,,,,,,,Clc,,,,,,,,,,,,,,,,,CG32103,,,,,,CG4716,,,,goe,,,,ND1,,,,,,,Lac,,,,,pAbp
,,,,,,,,,,,,,,goe,,,,,,,,,,,,,,,,,,,,,htl,,,,,,,,RpS18,,,,,,,,,,,,,,,,,dia,,,,,,CG32368,,,,RpS14b,,,,ref(2)P,,,,,,,Arc42,,,,,Sem1
,,,,,,,,,,,,,,AGBE,,,,,,,,,,,,,,,,,,,,,CG11151,,,,,,,,CG9331,,,,,,,,,,,,,,,,,CG31869,,,,,,NLaz,,,,CG17691,,,,Hsf,,,,,,,CG32407,,,,,l(1)G0156
,,,,,,,,,,,,,,CG34367,,,,,,,,,,,,,,,,,,,,,CG6543,,,,,,,,CG1665,,,,,,,,,,,,,,,,,Fkbp14,,,,,,mxt,,,,Mal-B2,,,,Ttd14,,,,,,,DOR,,,,,CG30069
,,,,,,,,,,,,,,NFAT,,,,,,,,,,,,,,,,,,,,,CG31999,,,,,,,,ScpX,,,,,,,,,,,,,,,,,RpLP2,,,,,,Mgstl,,,,Lapsyn,,,,CG13751,,,,,,,CG7461,,,,,NAT1
,,,,,,,,,,,,,,CG6701,,,,,,,,,,,,,,,,,,,,,spir,,,,,,,,JhI-26,,,,,,,,,,,,,,,,,Sox14,,,,,,CG5953,,,,fray,,,,CG6013,,,,,,,AspRS,,,,,Cyp1
,,,,,,,,,,,,,,Dop1R1,,,,,,,,,,,,,,,,,,,,,fray,,,,,,,,drk,,,,,,,,,,,,,,,,,Arf51F,,,,,,CG42671,,,,Kaz1-ORFB,,,,ox,,,,,,,CG44325,,,,,Calr
,,,,,,,,,,,,,,Ugt36Bc,,,,,,,,,,,,,,,,,,,,,CG33941,,,,,,,,RpS15Aa,,,,,,,,,,,,,,,,,CtsB1,,,,,,Chd64,,,,CG11284,,,,CG34200,,,,,,,CG33056,,,,,CG33169
,,,,,,,,,,,,,,Sk1,,,,,,,,,,,,,,,,,,,,,CG31937,,,,,,,,CG4598,,,,,,,,,,,,,,,,,cib,,,,,,Krn,,,,MSBP,,,,Vti1a,,,,,,,CG8417,,,,,Nmda1
,,,,,,,,,,,,,,Gfat2,,,,,,,,,,,,,,,,,,,,,CR43468,,,,,,,,Vamp7,,,,,,,,,,,,,,,,,CG12768,,,,,,rhea,,,,su(r),,,,CG13532,,,,,,,smal,,,,,alc
,,,,,,,,,,,,,,Sp7,,,,,,,,,,,,,,,,,,,,,GstD9,,,,,,,,Cyp12a4,,,,,,,,,,,,,,,,,CG12262,,,,,,CG9932,,,,Idgf3,,,,TM4SF,,,,,,,Sec61alpha,,,,,Pka-R1
,,,,,,,,,,,,,,su(r),,,,,,,,,,,,,,,,,,,,,CG5590,,,,,,,,Rab11,,,,,,,,,,,,,,,,,CG32368,,,,,,parvin,,,,UK114,,,,Su(var)2-HP2,,,,,,,Rel,,,,,CG43737
,,,,,,,,,,,,,,CG12811,,,,,,,,,,,,,,,,,,,,,RpL37A,,,,,,,,CG2064,,,,,,,,,,,,,,,,,mrj,,,,,,CG11790,,,,CG8312,,,,ND5,,,,,,,CG16986,,,,,Mob4
,,,,,,,,,,,,,,CG11151,,,,,,,,,,,,,,,,,,,,,retm,,,,,,,,ush,,,,,,,,,,,,,,,,,CG5168,,,,,,CG12384,,,,ci,,,,CG15922,,,,,,,CG33941,,,,,twr
,,,,,,,,,,,,,,CG7149,,,,,,,,,,,,,,,,,,,,,Rab9,,,,,,,,CG31637,,,,,,,,,,,,,,,,,CG33941,,,,,,Arc42,,,,Syx4,,,,Men-b,,,,,,,CG13887,,,,,CG17734
,,,,,,,,,,,,,,Chd64,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,CG31548,,,,,,,,,,,,,,,,,CG11899,,,,,,Myo31DF,,,,beat-IIIc,,,,MRP,,,,,,,Sesn,,,,,CG8498
,,,,,,,,,,,,,,CG18659,,,,,,,,,,,,,,,,,,,,,MFS14,,,,,,,,CrebA,,,,,,,,,,,,,,,,,CG10365,,,,,,htl,,,,CG3036,,,,bin3,,,,,,,CG17841,,,,,path
,,,,,,,,,,,,,,scrib,,,,,,,,,,,,,,,,,,,,,CalpB,,,,,,,,CG11899,,,,,,,,,,,,,,,,,CG1640,,,,,,CG3308,,,,LanB1,,,,Ca-beta,,,,,,,Kr-h2,,,,,CD98hc
,,,,,,,,,,,,,,MSBP,,,,,,,,,,,,,,,,,,,,,bbc,,,,,,,,Acer,,,,,,,,,,,,,,,,,CR45018,,,,,,NTPase,,,,Tsp42Ef,,,,Gyf,,,,,,,eIF3i,,,,,smog
,,,,,,,,,,,,,,CG9953,,,,,,,,,,,,,,,,,,,,,sky,,,,,,,,ena,,,,,,,,,,,,,,,,,CG1722,,,,,,CG5618,,,,CG31549,,,,CG32448,,,,,,,shg,,,,,Prosalpha3
,,,,,,,,,,,,,,eEF1gamma,,,,,,,,,,,,,,,,,,,,,Gapdh1,,,,,,,,Trx-2,,,,,,,,,,,,,,,,,CG5888,,,,,,CG15706,,,,Synd,,,,,,,,,,,CG11601,,,,,CG4646
,,,,,,,,,,,,,,Tis11,,,,,,,,,,,,,,,,,,,,,foxo,,,,,,,,Npc2b,,,,,,,,,,,,,,,,,CG8839,,,,,,CG13698,,,,CG30159,,,,,,,,,,,RpS30,,,,,gukh
,,,,,,,,,,,,,,CG15890,,,,,,,,,,,,,,,,,,,,,Sp7,,,,,,,,vir-1,,,,,,,,,,,,,,,,,CG10932,,,,,,CG15771,,,,RpL22,,,,,,,,,,,CG42239,,,,,zip
,,,,,,,,,,,,,,CG6180,,,,,,,,,,,,,,,,,,,,,Sodh-2,,,,,,,,Best1,,,,,,,,,,,,,,,,,frj,,,,,,CG33941,,,,Taldo,,,,,,,,,,,L2HGDH,,,,,CG10738
,,,,,,,,,,,,,,cnc,,,,,,,,,,,,,,,,,,,,,Cpr,,,,,,,,RpL13,,,,,,,,,,,,,,,,,CG2862,,,,,,sta,,,,RpLP0,,,,,,,,,,,Fitm,,,,,eRF3
,,,,,,,,,,,,,,Spn88Ea,,,,,,,,,,,,,,,,,,,,,Cyp6g1,,,,,,,,CG13284,,,,,,,,,,,,,,,,,Wdr62,,,,,,vsg,,,,CG8066,,,,,,,,,,,CG10527,,,,,Prosbeta4
,,,,,,,,,,,,,,CG12065,,,,,,,,,,,,,,,,,,,,,RhoGAP18B,,,,,,,,Sema2a,,,,,,,,,,,,,,,,,mav,,,,,,Stim,,,,alpha-Est9,,,,,,,,,,,Synd,,,,,CR44816
,,,,,,,,,,,,,,Spn27A,,,,,,,,,,,,,,,,,,,,,wgn,,,,,,,,CG17739,,,,,,,,,,,,,,,,,SREBP,,,,,,MtnA,,,,Moe,,,,,,,,,,,Dys,,,,,AnxB10
,,,,,,,,,,,,,,ct,,,,,,,,,,,,,,,,,,,,,nec,,,,,,,,ImpL2,,,,,,,,,,,,,,,,,RpL30,,,,,,cry,,,,CG31710,,,,,,,,,,,CG41520,,,,,CG15814
,,,,,,,,,,,,,,sima,,,,,,,,,,,,,,,,,,,,,CG3700,,,,,,,,sta,,,,,,,,,,,,,,,,,Eip74EF,,,,,,shn,,,,CG30069,,,,,,,,,,,CG9917,,,,,Pdi
,,,,,,,,,,,,,,ttk,,,,,,,,,,,,,,,,,,,,,NTPase,,,,,,,,wal,,,,,,,,,,,,,,,,,Rho1,,,,,,betaggt-II,,,,Trx-2,,,,,,,,,,,CG8860,,,,,CG2767
,,,,,,,,,,,,,,opa,,,,,,,,,,,,,,,,,,,,,Usp15-31,,,,,,,,CG30285,,,,,,,,,,,,,,,,,CG12811,,,,,,Tapdelta,,,,CG8839,,,,,,,,,,,CG14671,,,,,Xbp1
,,,,,,,,,,,,,,RpL34a,,,,,,,,,,,,,,,,,,,,,CG8602,,,,,,,,Mtpalpha,,,,,,,,,,,,,,,,,shot,,,,,,Xbp1,,,,D2hgdh,,,,,,,,,,,aay,,,,,Ostgamma
,,,,,,,,,,,,,,foxo,,,,,,,,,,,,,,,,,,,,,Fhos,,,,,,,,RpS14b,,,,,,,,,,,,,,,,,RhoGAP18B,,,,,,noc,,,,Plp,,,,,,,,,,,CG33523,,,,,CG2918
,,,,,,,,,,,,,,baf,,,,,,,,,,,,,,,,,,,,,CG12768,,,,,,,,Btk29A,,,,,,,,,,,,,,,,,CG4629,,,,,,Rab9,,,,CG5273,,,,,,,,,,,kraken,,,,,DIP1
,,,,,,,,,,,,,,SP2637,,,,,,,,,,,,,,,,,,,,,CG7149,,,,,,,,MFS10,,,,,,,,,,,,,,,,,CG18659,,,,,,spi,,,,sick,,,,,,,,,,,Nacalpha,,,,,CG12159
,,,,,,,,,,,,,,CG2765,,,,,,,,,,,,,,,,,,,,,RpS3A,,,,,,,,CG8312,,,,,,,,,,,,,,,,,CG3764,,,,,,Sod3,,,,Eip93F,,,,,,,,,,,Roc1a,,,,,pr
,,,,,,,,,,,,,,REPTOR,,,,,,,,,,,,,,,,,,,,,RpL34b,,,,,,,,Galk,,,,,,,,,,,,,,,,,jvl,,,,,,Cyp28d1,,,,RpS4,,,,,,,,,,,Ubc7,,,,,RanBPM
,,,,,,,,,,,,,,CG42394,,,,,,,,,,,,,,,,,,,,,RpL27A,,,,,,,,Tapdelta,,,,,,,,,,,,,,,,,CG9953,,,,,,CG7231,,,,vsg,,,,,,,,,,,CG8839,,,,,CtsB1
,,,,,,,,,,,,,,alpha-Est8,,,,,,,,,,,,,,,,,,,,,CG2680,,,,,,,,CG8300,,,,,,,,,,,,,,,,,CG2765,,,,,,Cyp1,,,,scb,,,,,,,,,,,tsr,,,,,Vkor
,,,,,,,,,,,,,,CG6084,,,,,,,,,,,,,,,,,,,,,Desat1,,,,,,,,Thiolase,,,,,,,,,,,,,,,,,RapGAP1,,,,,,mino,,,,ade5,,,,,,,,,,,mgl,,,,,CG3719
,,,,,,,,,,,,,,CG4297,,,,,,,,,,,,,,,,,,,,,CG9932,,,,,,,,Cyt-b5,,,,,,,,,,,,,,,,,Glycogenin,,,,,,Ilk,,,,CtsB1,,,,,,,,,,,CG12384,,,,,Cypl
,,,,,,,,,,,,,,RpL12,,,,,,,,,,,,,,,,,,,,,GEFmeso,,,,,,,,CR6900,,,,,,,,,,,,,,,,,stumps,,,,,,CG34136,,,,CG9331,,,,,,,,,,,CG42748,,,,,CG3776
,,,,,,,,,,,,,,CG3164,,,,,,,,,,,,,,,,,,,,,CG12262,,,,,,,,Cyp6a17,,,,,,,,,,,,,,,,,Ect3,,,,,,spri,,,,CG11537,,,,,,,,,,,Uhg7,,,,,SPoCk
,,,,,,,,,,,,,,tim,,,,,,,,,,,,,,,,,,,,,CG8397,,,,,,,,CG1637,,,,,,,,,,,,,,,,,pst,,,,,,crim,,,,CG2991,,,,,,,,,,,cry,,,,,Gdi
,,,,,,,,,,,,,,whd,,,,,,,,,,,,,,,,,,,,,CG42394,,,,,,,,Arpc1,,,,,,,,,,,,,,,,,CG4297,,,,,,sda,,,,RhoGAP18B,,,,,,,,,,,Pvr,,,,,Syt4
,,,,,,,,,,,,,,gbb,,,,,,,,,,,,,,,,,,,,,Chd64,,,,,,,,RabX1,,,,,,,,,,,,,,,,,ttk,,,,,,CG7920,,,,Adi1,,,,,,,,,,,crb,,,,,eIF3e
,,,,,,,,,,,,,,CG8417,,,,,,,,,,,,,,,,,,,,,CREG,,,,,,,,Idh,,,,,,,,,,,,,,,,,stas,,,,,,l(1)G0193,,,,RpS15Ab,,,,,,,,,,,Prosbeta2,,,,,CG17272
,,,,,,,,,,,,,,zfh1,,,,,,,,,,,,,,,,,,,,,CG6983,,,,,,,,RpS24,,,,,,,,,,,,,,,,,CG7461,,,,,,yps,,,,CG11686,,,,,,,,,,,26-29-p,,,,,Tango13
,,,,,,,,,,,,,,18w,,,,,,,,,,,,,,,,,,,,,mbc,,,,,,,,l(1)G0193,,,,,,,,,,,,,,,,,vsg,,,,,,CG42542,,,,CR46194,,,,,,,,,,,CG6950,,,,,TfIIFalpha
,,,,,,,,,,,,,,l(3)05822,,,,,,,,,,,,,,,,,,,,,CG5644,,,,,,,,ade5,,,,,,,,,,,,,,,,,CG2277,,,,,,CG17508,,,,AOX3,,,,,,,,,,,MAPk-Ak2,,,,,Prosbeta7
,,,,,,,,,,,,,,CG12768,,,,,,,,,,,,,,,,,,,,,RpL19,,,,,,,,yin,,,,,,,,,,,,,,,,,CG1607,,,,,,Nph,,,,AGBE,,,,,,,,,,,CG17721,,,,,Rpn5
,,,,,,,,,,,,,,CD98hc,,,,,,,,,,,,,,,,,,,,,Jheh1,,,,,,,,nuf,,,,,,,,,,,,,,,,,fray,,,,,,CG5888,,,,CG12171,,,,,,,,,,,CG9674,,,,,DppIII
,,,,,,,,,,,,,,Dmtn,,,,,,,,,,,,,,,,,,,,,gbb,,,,,,,,Nmdmc,,,,,,,,,,,,,,,,,CG7149,,,,,,Ipk2,,,,moody,,,,,,,,,,,CG3714,,,,,SmD1
,,,,,,,,,,,,,,pyd3,,,,,,,,,,,,,,,,,,,,,CG17029,,,,,,,,kibra,,,,,,,,,,,,,,,,,CG10126,,,,,,CG8507,,,,RpL34a,,,,,,,,,,,CG8974,,,,,Arpc4
,,,,,,,,,,,,,,FASN1,,,,,,,,,,,,,,,,,,,,,uzip,,,,,,,,CG6543,,,,,,,,,,,,,,,,,Tapdelta,,,,,,CG31549,,,,sev,,,,,,,,,,,Moe,,,,,UQCR-6.4
,,,,,,,,,,,,,,CtsB1,,,,,,,,,,,,,,,,,,,,,CG32473,,,,,,,,Fdh,,,,,,,,,,,,,,,,,RpL35,,,,,,Optix,,,,how,,,,,,,,,,,Mgstl,,,,,Rab10
,,,,,,,,,,,,,,brk,,,,,,,,,,,,,,,,,,,,,CG10623,,,,,,,,CG1827,,,,,,,,,,,,,,,,,CG31673,,,,,,Ubi-p63E,,,,CG12512,,,,,,,,,,,CG4953,,,,,Rab8
,,,,,,,,,,,,,,Plod,,,,,,,,,,,,,,,,,,,,,cib,,,,,,,,Plod,,,,,,,,,,,,,,,,,JhI-26,,,,,,CG42672,,,,Spn88Ea,,,,,,,,,,,CG17691,,,,,stv
,,,,,,,,,,,,,,CG13255,,,,,,,,,,,,,,,,,,,,,e,,,,,,,,CG7970,,,,,,,,,,,,,,,,,CG5734,,,,,,sick,,,,CG32687,,,,,,,,,,,CG4038,,,,,CG5885
,,,,,,,,,,,,,,CrebA,,,,,,,,,,,,,,,,,,,,,Eip74EF,,,,,,,,D2hgdh,,,,,,,,,,,,,,,,,CG18598,,,,,,CG10126,,,,apt,,,,,,,,,,,CG13551,,,,,Prosalpha2
,,,,,,,,,,,,,,Mtpalpha,,,,,,,,,,,,,,,,,,,,,CG2004,,,,,,,,MRP,,,,,,,,,,,,,,,,,Tsp42Ed,,,,,,CG31673,,,,Kr-h2,,,,,,,,,,,kay,,,,,Bap55
,,,,,,,,,,,,,,Nrg,,,,,,,,,,,,,,,,,,,,,Cyt-b5,,,,,,,,CG42259,,,,,,,,,,,,,,,,,CG5059,,,,,,CG12355,,,,Shmt2,,,,,,,,,,,eIF3d1,,,,,Ppa
,,,,,,,,,,,,,,Mgstl,,,,,,,,,,,,,,,,,,,,,Gclc,,,,,,,,Gale,,,,,,,,,,,,,,,,,Frl,,,,,,CG31937,,,,E23,,,,,,,,,,,Sec23,,,,,eIF3h
,,,,,,,,,,,,,,Rho1,,,,,,,,,,,,,,,,,,,,,Cyp12b2,,,,,,,,Glo1,,,,,,,,,,,,,,,,,Ect4,,,,,,CR40469,,,,Ncc69,,,,,,,,,,,Gapdh1,,,,,CG4038
,,,,,,,,,,,,,,CG10654,,,,,,,,,,,,,,,,,,,,,Tpi,,,,,,,,SelG,,,,,,,,,,,,,,,,,cer,,,,,,Ssadh,,,,CG6084,,,,,,,,,,,CG5455,,,,,D19A
,,,,,,,,,,,,,,Tapdelta,,,,,,,,,,,,,,,,,,,,,oys,,,,,,,,LpR1,,,,,,,,,,,,,,,,,Nop17l,,,,,,MSBP,,,,Snp,,,,,,,,,,,CG6983,,,,,CG31637
,,,,,,,,,,,,,,Usp15-31,,,,,,,,,,,,,,,,,,,,,colt,,,,,,,,CG5590,,,,,,,,,,,,,,,,,Glg1,,,,,,Arc1,,,,Etf-QO,,,,,,,,,,,whd,,,,,CG14207
,,,,,,,,,,,,,,CG44245,,,,,,,,,,,,,,,,,,,,,CR32218,,,,,,,,CG31937,,,,,,,,,,,,,,,,,Taldo,,,,,,CG7378,,,,CG4658,,,,,,,,,,,Surf4,,,,,His3.3A
,,,,,,,,,,,,,,CG10208,,,,,,,,,,,,,,,,,,,,,CLIP-190,,,,,,,,Sesn,,,,,,,,,,,,,,,,,CG7029,,,,,,rgn,,,,Tpi,,,,,,,,,,,GIIIspla2,,,,,Prosalpha6
,,,,,,,,,,,,,,Cyp9f3,,,,,,,,,,,,,,,,,,,,,CG32368,,,,,,,,Frl,,,,,,,,,,,,,,,,,HDAC6,,,,,,RpS15Ab,,,,Ect4,,,,,,,,,,,Karybeta3,,,,,tsu
,,,,,,,,,,,,,,Rpi,,,,,,,,,,,,,,,,,,,,,cer,,,,,,,,Prestin,,,,,,,,,,,,,,,,,pnt,,,,,,CCT4,,,,CG3609,,,,,,,,,,,Coprox,,,,,CG11781
,,,,,,,,,,,,,,Dll,,,,,,,,,,,,,,,,,,,,,CG18659,,,,,,,,RpS2,,,,,,,,,,,,,,,,,CG18208,,,,,,26-29-p,,,,ken,,,,,,,,,,,CCT1,,,,,Clic
,,,,,,,,,,,,,,VhaM9.7-b,,,,,,,,,,,,,,,,,,,,,RpS26,,,,,,,,aay,,,,,,,,,,,,,,,,,CG43658,,,,,,CG3714,,,,GstE8,,,,,,,,,,,FK506-bp2,,,,,CG9175
,,,,,,,,,,,,,,CG31549,,,,,,,,,,,,,,,,,,,,,RpL22,,,,,,,,Gp93,,,,,,,,,,,,,,,,,Krn,,,,,,CG12926,,,,ND1,,,,,,,,,,,Jafrac1,,,,,RpS29
,,,,,,,,,,,,,,fray,,,,,,,,,,,,,,,,,,,,,Sox14,,,,,,,,ATP7,,,,,,,,,,,,,,,,,FER,,,,,,CG30015,,,,Mrp4,,,,,,,,,,,CR43334,,,,,poly
,,,,,,,,,,,,,,CG33941,,,,,,,,,,,,,,,,,,,,,mav,,,,,,,,CG31145,,,,,,,,,,,,,,,,,Mvl,,,,,,aop,,,,Rab10,,,,,,,,,,,CG11576,,,,,CG11377
,,,,,,,,,,,,,,CG17739,,,,,,,,,,,,,,,,,,,,,Glycogenin,,,,,,,,RpL3,,,,,,,,,,,,,,,,,Sodh-2,,,,,,CG9577,,,,RpS14a,,,,,,,,,,,Got2,,,,,CG12484
,,,,,,,,,,,,,,colt,,,,,,,,,,,,,,,,,,,,,AGBE,,,,,,,,Cdc42,,,,,,,,,,,,,,,,,CG17026,,,,,,CG4572,,,,Sox14,,,,,,,,,,,CG9536,,,,,x16
,,,,,,,,,,,,,,CG32368,,,,,,,,,,,,,,,,,,,,,RpL39,,,,,,,,CR40469,,,,,,,,,,,,,,,,,CG31344,,,,,,Nlp,,,,sta,,,,,,,,,,,Ctl2,,,,,CG32756
,,,,,,,,,,,,,,shot,,,,,,,,,,,,,,,,,,,,,Synd,,,,,,,,CG30423,,,,,,,,,,,,,,,,,sima,,,,,,CR43651,,,,l(1)G0193,,,,,,,,,,,Gk1,,,,,mRpS7
,,,,,,,,,,,,,,CG2680,,,,,,,,,,,,,,,,,,,,,CG10512,,,,,,,,Tctp,,,,,,,,,,,,,,,,,Gclc,,,,,,Diap1,,,,gbb,,,,,,,,,,,Uev1A,,,,,osp
,,,,,,,,,,,,,,Rab9,,,,,,,,,,,,,,,,,,,,,MESR3,,,,,,,,CG32638,,,,,,,,,,,,,,,,,Ent2,,,,,,CG6574,,,,CG8331,,,,,,,,,,,raw,,,,,Smn
,,,,,,,,,,,,,,CG12171,,,,,,,,,,,,,,,,,,,,,RpL30,,,,,,,,Jafrac2,,,,,,,,,,,,,,,,,sgl,,,,,,CG9689,,,,CG5104,,,,,,,,,,,GstO2,,,,,ND-B18
,,,,,,,,,,,,,,wts,,,,,,,,,,,,,,,,,,,,,CG9917,,,,,,,,Hsc70-4,,,,,,,,,,,,,,,,,Tspo,,,,,,Magi,,,,GstE1,,,,,,,,,,,eIF3h,,,,,sun
,,,,,,,,,,,,,,scramb1,,,,,,,,,,,,,,,,,,,,,CG30069,,,,,,,,bwa,,,,,,,,,,,,,,,,,CG8745,,,,,,CR17025,,,,CG18343,,,,,,,,,,,CG11444,,,,,SsRbeta
,,,,,,,,,,,,,,CG8397,,,,,,,,,,,,,,,,,,,,,pr,,,,,,,,CG17124,,,,,,,,,,,,,,,,,brk,,,,,,CG17896,,,,CG7322,,,,,,,,,,,Pex19,,,,,CG13364
,,,,,,,,,,,,,,ND6,,,,,,,,,,,,,,,,,,,,,CG32354,,,,,,,,Scamp,,,,,,,,,,,,,,,,,CG6767,,,,,,Prosalpha2,,,,dsx,,,,,,,,,,,Prosbeta3,,,,,unc-104
,,,,,,,,,,,,,,ens,,,,,,,,,,,,,,,,,,,,,Mvl,,,,,,,,CG10413,,,,,,,,,,,,,,,,,nkd,,,,,,MESR3,,,,CG10126,,,,,,,,,,,NLaz,,,,,Prosalpha7
,,,,,,,,,,,,,,fat-spondin,,,,,,,,,,,,,,,,,,,,,RpL28,,,,,,,,Taldo,,,,,,,,,,,,,,,,,ct,,,,,,Catsup,,,,ttk,,,,,,,,,,,Arv1,,,,,CG11151
,,,,,,,,,,,,,,Xrp1,,,,,,,,,,,,,,,,,,,,,RpS23,,,,,,,,RpL29,,,,,,,,,,,,,,,,,PRAS40,,,,,,colt,,,,Nhe2,,,,,,,,,,,CG42336,,,,,yps
,,,,,,,,,,,,,,Cyp12b2,,,,,,,,,,,,,,,,,,,,,CG31808,,,,,,,,Dnz1,,,,,,,,,,,,,,,,,CG5953,,,,,,CG32103,,,,CG43107,,,,,,,,,,,CG32473,,,,,Nup37
,,,,,,,,,,,,,,CG6950,,,,,,,,,,,,,,,,,,,,,CG7029,,,,,,,,RpS3,,,,,,,,,,,,,,,,,Cp1,,,,,,CG17333,,,,CG31937,,,,,,,,,,,CG8814,,,,,CG33868
,,,,,,,,,,,,,,kay,,,,,,,,,,,,,,,,,,,,,LRP1,,,,,,,,Mfe2,,,,,,,,,,,,,,,,,CG12384,,,,,,Desat1,,,,IP3K1,,,,,,,,,,,CG7601,,,,,emc
,,,,,,,,,,,,,,lqf,,,,,,,,,,,,,,,,,,,,,Plod,,,,,,,,Tspo,,,,,,,,,,,,,,,,,Cyp12b2,,,,,,CG3609,,,,Cyp1,,,,,,,,,,,CG5482,,,,,mgr
,,,,,,,,,,,,,,CG3376,,,,,,,,,,,,,,,,,,,,,MSBP,,,,,,,,CG42239,,,,,,,,,,,,,,,,,CG8176,,,,,,cnc,,,,Tsp42Ee,,,,,,,,,,,CG9662,,,,,eIF4G1
,,,,,,,,,,,,,,Sec61alpha,,,,,,,,,,,,,,,,,,,,,Thor,,,,,,,,Prosbeta1,,,,,,,,,,,,,,,,,Gfat2,,,,,,raw,,,,CG15611,,,,,,,,,,,Bet1,,,,,Rgk3
,,,,,,,,,,,,,,CG3714,,,,,,,,,,,,,,,,,,,,,Moe,,,,,,,,spri,,,,,,,,,,,,,,,,,eEF1gamma,,,,,,RpL22,,,,GstD9,,,,,,,,,,,Hmu,,,,,sPLA2
,,,,,,,,,,,,,,RpS15Aa,,,,,,,,,,,,,,,,,,,,,AnxB10,,,,,,,,Stim,,,,,,,,,,,,,,,,,CG4598,,,,,,CG2846,,,,ras,,,,,,,,,,,Nap1,,,,,CG9947
,,,,,,,,,,,,,,CG5590,,,,,,,,,,,,,,,,,,,,,CG4297,,,,,,,,mino,,,,,,,,,,,,,,,,,RpL39,,,,,,CG5191,,,,CG8507,,,,,,,,,,,ND5,,,,,CG42495
,,,,,,,,,,,,,,CG42327,,,,,,,,,,,,,,,,,,,,,CG17026,,,,,,,,Rab7,,,,,,,,,,,,,,,,,eEF1beta,,,,,,CG8475,,,,CG7920,,,,,,,,,,,,,,,,Sar1
,,,,,,,,,,,,,,Synd,,,,,,,,,,,,,,,,,,,,,CG12163,,,,,,,,RpL9,,,,,,,,,,,,,,,,,CG8602,,,,,,CG31676,,,,CycG,,,,,,,,,,,,,,,,Lk6
,,,,,,,,,,,,,,CG4598,,,,,,,,,,,,,,,,,,,,,Dic1,,,,,,,,loco,,,,,,,,,,,,,,,,,RpS21,,,,,,CG4038,,,,Sp7,,,,,,,,,,,,,,,,janA
,,,,,,,,,,,,,,CG17646,,,,,,,,,,,,,,,,,,,,,FASN1,,,,,,,,CG17278,,,,,,,,,,,,,,,,,smal,,,,,,CG13887,,,,CREG,,,,,,,,,,,,,,,,Nap1
,,,,,,,,,,,,,,CG17029,,,,,,,,,,,,,,,,,,,,,Tctp,,,,,,,,CG8036,,,,,,,,,,,,,,,,,Moe,,,,,,ash2,,,,Pino,,,,,,,,,,,,,,,,MED4
,,,,,,,,,,,,,,CG11007,,,,,,,,,,,,,,,,,,,,,Pgm,,,,,,,,CG5721,,,,,,,,,,,,,,,,,AdSS,,,,,,SP1029,,,,CG30499,,,,,,,,,,,,,,,,GstO2
,,,,,,,,,,,,,,Fkbp14,,,,,,,,,,,,,,,,,,,,,Mtl,,,,,,,,Hsc70-3,,,,,,,,,,,,,,,,,shn,,,,,,ens,,,,Cyt-b5,,,,,,,,,,,,,,,,robl
,,,,,,,,,,,,,,CR43459,,,,,,,,,,,,,,,,,,,,,RpL35A,,,,,,,,ifc,,,,,,,,,,,,,,,,,ACC,,,,,,Ent2,,,,CG5167,,,,,,,,,,,,,,,,l(2)37Cc
